id,mean_time_ms_100,mean_time_ms_150,mean_time_ms_200,mean_time_ms_250,mean_time_ms_300,mean_time_ms_350,mean_time_ms_400,mean_time_ms_450,mean_time_ms_500,mean_time_ms_550,mean_time_ms_600
0,19.691308333333335,22.600650333333334,22.663355000000006,42.44796433333334,27.620077,25.70478133333333,32.520056000000004,26.453892333333332,28.14586966666667,28.61706433333333,30.97764666666667
1,24.630626000000003,25.78934033333333,22.162278333333333,48.036734333333335,29.10097433333333,29.21144166666667,36.531686666666666,30.666351333333335,31.592289666666662,32.85837166666666,33.212741333333334
2,19.374609000000003,22.58459733333333,25.053978,51.52440066666667,30.643383333333336,30.581315333333333,35.45626,35.14266,32.55867933333334,34.896294000000005,35.89264566666666
3,14.169375,22.078593666666666,25.770028333333332,50.480286666666665,34.77430333333333,36.11898433333333,40.39732566666667,39.503653666666665,44.04060033333334,47.37067233333334,46.51633866666666
4,11.395295333333332,22.744337333333334,25.14298766666667,53.851922333333334,33.76436266666667,34.205754666666664,43.37620733333333,41.077295666666664,44.78772433333333,46.36732800000001,48.885980999999994
5,10.860919666666666,19.772927,22.719303666666665,52.61103266666667,35.285552333333335,38.305997999999995,46.35612166666667,48.136631666666666,45.074304000000005,48.75024166666666,53.497791
6,13.296604666666667,22.764285,22.253910666666666,49.42440966666667,35.20758966666667,36.67799633333333,47.62705166666667,48.579375,43.912013333333334,48.13067100000001,53.68971833333333
7,13.295253,19.881327666666667,21.193662999999997,50.10135966666667,34.070015000000005,36.132017999999995,45.410553666666665,47.915697,44.870377,47.76708233333333,54.21559033333333
8,10.583639,19.541661333333334,22.219975666666667,49.145619,33.35873266666667,36.76899266666666,46.033939000000004,52.28400233333334,45.594373999999995,53.51336800000001,52.66777666666667
9,10.595719,19.937991999999998,19.703387666666668,51.78300566666667,30.850649333333333,37.679672333333336,48.682928000000004,51.18831,48.203627000000004,52.52234133333334,60.224692000000005
10,10.934591000000003,18.44461766666667,20.762681666666666,52.131971,39.878050333333334,41.99759166666667,50.84029833333333,61.96546566666666,54.032405000000004,61.12345066666668,67.648013
11,10.523716666666667,20.500421666666668,19.198656,49.08434533333334,41.032393666666664,39.934953,53.806384333333334,60.785690666666675,54.88665866666667,64.921697,68.78296533333332
12,11.254469333333333,19.305626666666665,23.257255333333333,48.10961066666667,39.802789999999995,38.967291333333336,56.66971233333334,62.96308833333333,64.582984,71.07234,70.20505233333334
13,10.006666333333333,23.720423333333333,25.67370766666666,45.01160000000001,38.963635333333336,38.04731366666667,59.98969066666667,62.478780666666665,62.76575766666667,70.894718,69.04133166666666
14,10.435104666666668,22.772073666666667,23.771047333333332,43.504715000000004,36.65502833333333,36.48861233333334,60.395956000000005,79.09973466666666,61.86397866666667,69.48995566666666,70.37131
15,11.125087666666667,24.184624,28.420051,47.399282666666664,36.15268066666667,34.02368233333333,59.743007,78.30905899999999,60.351054000000005,68.99102533333333,70.42837133333333
16,12.054602666666668,24.409691666666664,26.21666566666667,51.582416,37.03975666666667,39.751689,58.471044000000006,80.702702,61.90665533333333,70.84798833333333,70.41668866666667
17,13.582388333333332,23.365974333333337,23.663997999999996,49.20657433333334,40.218671,39.806048,57.77168266666666,78.73725866666666,62.102317666666664,70.841392,69.54805033333334
18,12.141704333333331,19.135952,24.747291666666666,46.05293266666666,37.307659666666666,44.078032,56.81363733333333,84.21436966666667,62.27628433333334,71.68364533333333,70.73442133333333
19,11.225064333333334,20.681540333333334,46.73894233333334,42.470058,37.50038166666667,47.930718000000006,61.679362999999995,85.13561866666667,61.704317333333336,72.18702633333334,72.28795733333332
20,11.780262333333333,19.917965,51.657994333333335,46.217679999999994,39.868434,48.66369533333333,60.26824333333334,83.85634466666666,61.847766666666665,70.78782733333333,72.32832933333334
21,11.096239666666667,17.666657999999998,50.471543999999994,42.753299,40.031989,49.538294666666665,63.750664333333326,82.13464433333333,65.58696466666667,73.060354,71.86468433333334
22,10.493993999999999,16.980965666666666,49.159686,45.241912333333325,38.017351999999995,49.34334733333333,64.05472766666666,82.11000766666668,71.332693,74.706634,73.411306
23,9.175778,18.29091733333333,46.921889,44.33973633333333,36.44800166666667,52.53807666666666,65.973997,94.08434199999999,71.032683,73.74938333333334,88.13428933333334
24,9.530623666666667,18.544912,46.759684666666665,47.85267533333334,36.728302666666664,51.059643333333334,69.55568,92.41143866666665,69.45665699999999,74.72705833333333,87.45161733333335
25,10.948976000000002,19.16829733333333,45.344591333333334,45.12167,37.12137533333333,48.37838833333333,67.80203133333333,94.37330566666667,68.73035466666666,77.594598,97.802321
26,12.556950333333333,22.543350666666665,44.071674333333334,43.635686666666665,39.627314000000005,49.29359766666666,70.15872033333333,94.51198566666666,71.51238133333334,79.19963200000001,97.246011
27,11.721293333333335,29.83895933333333,45.293648999999995,45.351982,37.66878466666667,46.807686666666676,70.83169633333334,94.039758,74.71934966666667,84.09293533333333,100.57703666666667
28,10.635057999999999,27.419646666666665,42.359988,45.38408933333333,41.147073,53.091685000000005,70.83741833333333,93.18002066666668,75.75337066666667,83.631913,109.43603533333334
29,10.096867666666666,23.891687666666666,44.46196533333333,45.29500033333333,39.412419,55.40259700000001,69.96862133333333,92.95360233333334,74.755271,83.99367333333333,110.23736000000001
30,12.236992333333333,21.529595333333333,42.661428666666666,42.876243666666674,36.989688666666666,54.538091,68.44870266666668,93.87159333333334,78.77063733333334,88.629802,109.40297500000001
31,11.067390333333334,21.236738,42.750915,45.360644666666666,38.551728,53.112030000000004,69.148461,92.58159033333334,84.54529433333333,87.64203400000001,114.082972
