id,Mean Message Latency (ms)
0,225.51366691666666
1,307.64785658333324
2,407.75765972916673
3,520.7106942708334
4,611.81320246875
5,691.125112208333
6,798.6379141145834
7,886.0681255520835
8,984.899347083333
9,1068.8024163958335
10,1156.113353875
11,1244.683456895833
12,1342.2035649791662
13,1428.1396592812505
14,1507.9470450833333
15,1620.3352709791664
16,1698.6873498333332
17,1798.1656913229162
18,1897.535825770834
19,2034.805536197917
20,2182.2239359166656
21,2268.4621685625
22,2362.099076291667
23,2458.86821796875
24,2548.4801282604167
25,2653.7083858958335
26,2750.686675250001
27,2878.847653697918
28,2983.6821780208334
29,3079.5736859270824
30,3181.550542552084
31,3274.0458646874995
32,3395.1323504479174
33,3514.212829322916
34,3629.6917547708326
35,3737.103514447916
36,3841.5230214687494
37,3929.9201866145836
38,4046.800961114583
39,4156.769382458333
40,4282.735280760417
41,4392.928833739585
42,4505.956647260418
43,4595.322335791669
44,4684.760207885417
45,4790.992863468749
46,4905.1358848750015
47,5056.981042031249
48,5195.544588135416
49,5338.258174531249
50,5445.829264833333
51,5554.057498812497
52,5660.215646083332
53,5768.27155784375
54,5897.721812135415
55,6018.401851270834
56,6118.985394541669
57,6229.779750125
58,6338.356013083331
59,6452.917305125
60,6583.618347895835
61,6706.262628197917
62,6828.531466489585
63,6987.561419656248
64,7117.777551229164
65,7247.470835937499
66,7391.741151645833
67,7514.814587937497
68,7638.056615916664
69,7769.789934166666
70,7878.742565645834
71,7983.9031870312465
72,8098.701089614583
73,8226.965616177084
74,8353.264428687498
75,8500.051096062503
76,8651.224854104168
77,8759.013280312502
78,8869.274641052083
79,8978.25737053125
80,9116.977671874998
81,9238.910337270829
82,9376.012151447916
83,9498.426755312501
84,9625.476961333332
85,9740.391840489583
86,9848.288218156249
87,9944.497495895832
88,10086.362679833332
89,10188.226935687499
90,10325.211442968754
91,10447.987971197916
92,10555.443736458328
93,10651.936568270832
94,10785.972478416666
95,10881.066211947365
96,11011.395840863159
97,11049.44117524468
98,11161.923852351061
99,11271.409189457445
100,11396.739652829792
101,11491.500636372339
102,11443.718780684783
103,11450.673724296705
104,11541.62726035165
105,11643.5572865055
106,11646.090139266666
107,11696.870107438204
108,11804.455167752809
109,11834.481558977273
110,11918.720351011363
111,12006.500954
112,12101.705076977274
113,12220.773388113634
114,12250.30318345977
115,12358.599216080456
116,12392.792139000003
117,12394.222862658822
118,12419.97672822619
119,12520.269703285714
120,12658.920543547618
121,12763.059522369045
122,12821.301580903617
123,12923.503338518076
124,13043.51907178313
125,13148.34856401204
126,13242.948382783132
127,13229.326621925928
128,13316.637357209875
129,13283.853603354431
130,13366.77916132911
131,13453.769122481013
132,13481.523396142857
133,13397.411349639997
134,13493.159793213334
135,13526.532405108108
136,13659.642209932432
137,13644.92075315278
138,13684.543351028173
139,13667.340997285715
140,13558.061806179105
141,13584.628224333332
142,13689.723386863638
143,13778.052929575759
144,13899.940779757582
145,14030.432119515151
146,14199.920433656718
147,14261.058659227278
148,14272.556161907696
149,14221.248906746032
150,14263.395555435483
151,14194.566440683333
152,14206.15446975862
153,14233.877930684212
154,14213.361978607141
155,14025.971948037737
156,14101.727454037737
157,13775.317616439996
158,13859.2631053
159,13819.053323918371
160,13759.381895312503
161,13843.778302374996
162,13770.815291319152
163,13850.662033595749
164,13756.09608321739
165,13723.012452555555
166,13435.453886162788
167,13533.7197392093
168,13247.992248024391
169,12952.032217692305
170,12493.898616777775
171,12613.475726722225
172,12455.55663102857
173,12273.438853352942
174,12374.535413382353
175,12474.993846058824
176,12568.093860941179
177,12663.068161264704
178,12231.11556475
179,12315.048061406253
180,12391.657479187501
181,12133.168574354839
182,11597.979159068967
183,11349.600451285716
184,11090.673058074071
185,11204.60782225926
186,11267.029462074073
187,11584.992400250001
188,11291.888148777778
189,11383.355529037037
190,11495.720783740739
191,11612.461302148151
192,11709.57341896296
193,11428.669608615386
194,11505.845216653845
195,12527.417842500001
196,12618.652860299999
197,12185.530849785715
198,12294.200096857141
199,12376.536224535712
200,12474.416503
201,12585.888113142859
202,12687.291000464285
203,12377.61256433333
204,12493.271483518518
205,12584.121465777773
206,12347.214102846154
207,12420.921123961538
208,12492.974923230768
209,12599.691418538461
210,12684.660214692309
211,12821.077337538462
212,12889.80959919231
213,12195.738782500002
214,12308.740168874998
215,11604.4271535
216,11711.8851055
217,11825.867316909093
218,11492.952959809525
219,11045.757687
220,10614.49047131579
221,10790.431800789474
222,10869.11157563158
223,10340.287208555555
224,10479.357057111112
225,10572.95657538889
226,10667.926523277778
227,9591.050043624999
228,9677.4948685
229,9772.711456062501
230,9842.286035500001
231,9083.821153800001
232,9191.108322066666
233,9264.32786
234,8935.76819542857
235,9084.941046714284
236,9173.735720857143
237,9277.8971195
238,9379.54827707143
239,9499.222704142858
240,9595.890504928571
241,9755.044869214285
242,9811.464019928573
243,9932.94886192857
244,10076.540333928573
245,10307.730487428571
246,9396.461468692309
247,9454.174977153847
248,9531.711394846152
249,9616.493738692308
250,9713.115802153847
251,9823.460780923077
252,9935.785605307694
253,10017.80689676923
254,10113.491718692308
255,10193.890920153846
256,10278.51665923077
257,10371.108018538462
258,10470.647995153848
259,10568.381474846155
260,10649.011465307693
261,10750.438836846153
262,10848.387204538461
263,10959.906651384617
264,11093.79086123077
265,11194.675518846152
266,11290.441256230768
267,11401.712876153846
268,11520.02015476923
269,10791.419685
270,10882.65566025
271,10972.295820833335
272,11071.884234833335
273,11163.364033083335
274,11280.745923666667
275,11371.37774625
276,11473.064065166667
277,11557.1596425
278,11648.727397083334
279,11747.289001749998
280,11877.90580591667
281,11972.26840275
282,12164.271414416666
283,12301.84624575
284,10823.109483600001
285,10980.984378099998
286,9821.997218666667
287,9915.230035777779
288,10041.695250444443
289,8775.057464875
290,8956.26235025
291,9038.124621125
292,9126.369952875
293,9232.102870749999
294,9342.3989415
295,9464.03452725
296,9576.062858124998
297,9699.565022875
298,9835.1602555
299,9935.000151625001
300,10044.003575875
301,10149.063617
302,10323.486655875
303,10451.66134825
304,10638.158261499999
305,10837.51383425
306,11086.255252250001
307,10001.75115042857
308,10313.553128857142
309,10443.855251428571
310,10528.463704142856
311,10700.137308714286
312,10791.876486428573
313,9388.505975499998
314,9444.672187333332
315,9526.851177333334
316,9748.1642165
317,9878.9482515
318,9978.025515833333
319,10098.295331000001
320,8202.5352
321,8330.4030892
322,8396.4385508
323,8549.5440008
324,8660.1547242
325,8790.6231406
326,8916.509962200002
327,9039.421987400001
328,9143.8152792
329,9263.3143898
330,9388.8411998
331,9522.143221200002
332,9611.497164
333,9717.4770358
334,9905.560779399999
335,10003.945017
336,10131.1415194
337,8108.331322749999
338,8264.151275
339,8403.76651325
340,8577.96800125
341,8679.77225775
342,8784.505605499999
343,8972.87297275
344,9074.100256
345,9225.2997755
346,9384.1760755
347,9499.59748975
348,9673.18749475
349,9782.007456
350,9946.578682
351,10094.66701775
352,10222.4734425
353,10355.190336749998
354,10545.98254
355,10751.788735500002
356,10868.310451500001
357,11002.571046000001
358,11146.9920275
359,11328.18591625
360,11467.988491
361,11661.74358125
362,11936.559736750001
363,12031.2911865
364,12201.65622225
365,12354.9414875
366,12580.1483395
367,12811.920762000002
368,12957.20994475
369,13056.246817
370,13182.062208750001
371,13368.25919175
372,13537.941456249999
373,11225.759347333333
374,11361.166397333334
375,11494.593302333335
376,11620.926619
377,11782.411337
378,11880.580346
379,12005.116065333334
380,12099.583785
381,12309.272528
382,12472.243389000001
383,12660.869995333334
384,12824.517965
385,12915.867010666667
386,13064.929962
387,13167.810598666669
388,13308.386246
389,13405.331293666668
390,13561.694303999999
391,13739.190657666666
392,13847.965876
393,14033.278306333334
394,14187.566042333334
395,14411.804596666667
396,12462.5201225
397,12770.085454
398,13075.619936
399,13138.785004
400,13205.026031000001
401,13303.969979500002
402,13369.2890405
403,13560.23252
404,13747.9865555
405,13879.379988
406,10357.820034
407,10704.685927
408,10819.427967
409,11016.819
410,11148.601055
411,11305.026055
412,11459.737063
413,11587.472201
414,11750.536919
415,11965.686798
416,12057.342053
417,12217.544079
418,12325.146198
419,12502.501965
420,12637.665987
421,12992.328882
422,13111.286163
423,13257.794141
424,13256.73604
425,13525.443077
426,13521.232843
427,13897.663116
428,14038.512945
429,14239.081144
430,14502.475977
431,14775.801897
432,15008.833885
433,15246.602058
434,15397.309065
435,15564.901113
436,15822.435856
437,15965.129852
438,16237.312794
439,16352.365017
440,16528.726816
441,16752.593041
442,16925.264835
443,17077.068091
444,17193.156958
445,17311.33604
446,17467.371941
447,17560.012102
448,17746.742964
449,18052.548885
450,18142.692089
451,18289.901018
452,18489.934206
453,18674.316168
454,19040.241003
455,19056.135177
456,19252.547979
457,19380.579949
