0,1485263223742445945,1485263224823714971
1,1485263223767611980,1485263225253288984
2,1485263223791657924,1485263226149121046
3,1485263223810343980,1485263226516319990
4,1485263223828190088,1485263227210603952
5,1485263223846203088,1485263227612005949
6,1485263223870843887,1485263228169054985
7,1485263223897905111,1485263228486006975
8,1485263223921410083,1485263229176548004
9,1485263223922691106,1485263229562891006
10,1485263223951863050,1485263230088151931
11,1485263223953416109,1485263230299556016
12,1485263223976072072,1485263230713455915
13,1485263224002636909,1485263230959701061
14,1485263224003968000,1485263231191129922
15,1485263224033802032,1485263231490525007
16,1485263224062140941,1485263231759089946
17,1485263224076303958,1485263232528559923
18,1485263224092246055,1485263233220467090
19,1485263224123104095,1485263233220660924
20,1485263224144685029,1485263233220732927
21,1485263224154184103,1485263233220791101
22,1485263224181685924,1485263233268562078
23,1485263224211206912,1485263233486345052
24,1485263224227348089,1485263233720743894
25,1485263224234380960,1485263233964298963
26,1485263224278189897,1485263234134833097
27,1485263224279759883,1485263234317923069
28,1485263224309844017,1485263234552941083
29,1485263224311253070,1485263234554306983
30,1485263224357186079,1485263234802931070
31,1485263224384529113,1485263235025320053
32,1485263224404324054,1485263235181206941
33,1485263224430790901,1485263235311609983
34,1485263224455192089,1485263235492360115
35,1485263224456717967,1485263235627964019
36,1485263224458106040,1485263235765770912
37,1485263224512023925,1485263236006987094
38,1485263224513500928,1485263236333264112
39,1485263224548423051,1485263236441418886
40,1485263224550018072,1485263236588586091
41,1485263224600338935,1485263236848661899
42,1485263224607692003,1485263236990706920
43,1485263224636576890,1485263237239517927
44,1485263224654068946,1485263237260557889
45,1485263224698065996,1485263237684900999
46,1485263224715737104,1485263237838937997
47,1485263224742372035,1485263238245846033
48,1485263224743974924,1485263238453227996
49,1485263224793931007,1485263238657250881
50,1485263224821892023,1485263238747427940
51,1485263224840508937,1485263238952207088
52,1485263224860193967,1485263239044351100
53,1485263224861722946,1485263239175798892
54,1485263224901797056,1485263239291856050
55,1485263224903373956,1485263239431622982
56,1485263224952271938,1485263239488622903
57,1485263224960665941,1485263239515130996
58,1485263224962192058,1485263239740901947
59,1485263224990972995,1485263239923460960
60,1485263225025404930,1485263240724128961
61,1485263225026988029,1485263240724246978
62,1485263225028328895,1485263240724311113
63,1485263225069596052,1485263241227685928
64,1485263225084000110,1485263241497656106
65,1485263225085414886,1485263241515336036
66,1485263225128992080,1485263241581437110
67,1485263225149446964,1485263241621284008
68,1485263225150813102,1485263243199867010
69,1485263225169883012,1485263243209598064
70,1485263225191873073,1485263243210625886
71,1485263225203113079,1485263243210767030
72,1485263225231673955,1485263243210846900
73,1485263225254201889,1485263243211922883
74,1485263225261557102,1485263243305274963
75,1485263225289592981,1485263243466027975
76,1485263225291053056,1485263243475374937
77,1485263225325170993,1485263243548470020
78,1485263225326755046,1485263243595125913
79,1485263225328205108,1485263243731760025
80,1485263225364691019,1485263243741034984
81,1485263225384282112,1485263243776813030
82,1485263225391222000,1485263244063580036
83,1485263225420619964,1485263244080456972
84,1485263225439786911,1485263244098242998
85,1485263225441417932,1485263244164052009
86,1485263225463725090,1485263244259879112
87,1485263225495079994,1485263244292334079
88,1485263225501204967,1485263244458970069
89,1485263225523931980,1485263244705301046
90,1485263225525470972,1485263244765039920
91,1485263225551476001,1485263244861427068
92,1485263225580008029,1485263244902379989
93,1485263225581458091,1485263245002262115
94,1485263225606841087,1485263245054084062
95,1485263225636810064,1485263245602369070
96,1485263225638139009,1485263245723357915
97,1485263225656595945,1485263245968514919
98,1485263225686196088,1485263246211277961
