id,mean_time_ms_200,mean_time_ms_400,mean_time_ms_600,mean_time_ms_800,mean_time_ms_1000,mean_time_ms_1200,mean_time_ms_1400,mean_time_ms_1600,mean_time_ms_1800,mean_time_ms_2000
0,23.259242666666665,31.146049333333334,24.77534633333333,31.916697666666664,31.253258333333335,32.76101766666667,25.328397666666664,27.821699666666664,28.674920666666665,28.964360666666668
1,26.59169833333333,32.884677333333336,33.028602666666664,34.64563666666667,32.991648,33.07334566666666,29.742082,29.935678,30.627647999999997,35.354217
2,31.853994,32.112916000000006,34.227609666666666,34.98363466666667,33.418337333333334,38.69239533333333,34.41993366666667,32.022635666666666,30.916293666666665,37.13377333333333
3,32.69807433333333,44.537941666666676,42.654753,52.214543,54.64363099999999,57.262659000000006,50.05828566666667,46.375672,47.37106966666666,49.393654
4,31.692028333333337,44.659694,43.06936266666667,57.38933866666667,57.27799733333334,59.229692,51.21032399999999,46.800216,60.75096133333333,57.049592
5,31.746308,54.57242266666666,42.36873033333333,58.567365333333335,57.65366533333333,61.48004533333333,54.428021,51.587263666666665,61.123529999999995,57.928403
6,29.97469866666667,54.09534766666667,44.921398,59.81786999999999,58.1429,61.126629333333334,54.164012333333325,51.78968066666667,63.74772433333334,57.735284666666665
7,27.576287666666662,53.03128533333333,44.29507233333334,59.65876599999999,57.92268133333332,60.182651,64.469973,57.442983,63.25125666666667,58.09474
8,26.13870266666667,53.505340999999994,45.614084,61.434348666666665,69.42971533333333,60.20538033333333,68.47890233333334,63.96349266666667,63.32604133333333,65.11068366666667
9,24.460633666666666,54.85598233333334,44.093927,63.08531766666667,68.831364,62.64066666666667,68.3767,69.82167533333335,63.05511799999999,66.21376666666667
10,31.546593,71.72807066666667,63.81527599999999,78.16894833333333,88.53324233333335,70.81039766666667,74.594021,74.91731666666668,74.191014,70.94566033333332
11,28.243700333333333,70.68936000000001,73.12901833333333,78.333696,90.12230233333334,72.06694266666666,75.32636333333333,73.854367,73.72101099999999,72.192033
12,25.761762666666666,69.581906,73.50738833333332,79.180956,90.37693300000001,86.36887866666666,76.10861433333334,73.53019733333333,77.94308633333334,78.742266
13,24.359941333333335,69.49726766666667,77.08533633333333,78.380982,89.895328,89.11569933333332,76.122284,78.73304666666667,83.72545233333334,78.343948
14,25.543212999999998,69.96798533333333,77.08136233333335,79.16696866666668,89.724938,92.048009,83.34565166666665,81.47629066666666,84.38102366666668,91.25161166666668
15,24.360974333333335,76.98671033333333,79.23467966666666,79.71731799999999,88.65189533333334,91.45196266666666,82.6087,81.94931366666667,83.886703,92.62903533333332
16,25.002002,74.76830466666667,77.85002399999999,86.18028933333333,91.40737833333333,91.68672566666667,82.45031033333333,85.03643633333333,83.240668,98.22670633333333
17,25.352716333333333,81.72400800000001,82.64962833333334,86.69066433333334,99.65769466666666,98.08333699999999,82.20132166666667,84.92970466666667,87.27296233333334,98.311345
18,25.878985999999998,80.63936233333334,84.63430366666667,90.32463999999999,107.51517633333333,97.64671299999999,97.17599533333333,91.422558,86.74073266666666,97.89729166666666
19,23.441235333333335,79.72375533333333,86.832364,89.59794033333333,111.14700633333332,111.045281,97.33565633333335,95.90856266666667,86.62223833333333,97.395897
20,24.06374633333333,80.58094966666665,87.64799466666666,96.37602199999999,110.66865933333334,111.17021233333332,100.19572566666666,99.454641,88.017702,107.218027
21,24.364709333333334,79.00341333333334,86.70663833333333,99.51766366666668,129.51946266666667,110.643387,101.96264566666666,99.56558566666666,92.89407766666666,109.62899566666665
22,24.025201666666664,137.53835366666667,87.68971766666665,99.31500733333333,129.82193600000002,114.48001866666668,103.94501733333334,109.19475566666667,93.01638600000001,108.96738333333333
23,23.885647333333335,143.46599566666666,86.57232933333334,101.93244633333335,132.51535099999998,120.48037833333335,103.46937133333334,109.281699,92.86928166666667,111.54993400000001
24,22.697607666666666,189.11735233333334,85.62731766666667,101.462285,132.369677,120.74605633333334,102.417628,113.76531899999999,112.91805900000001,111.56066266666666
25,23.924986333333333,189.116319,84.31307499999998,102.92832066666666,132.85859433333334,121.47132566666666,104.14926200000001,116.56586333333333,111.626307,111.596346
26,25.454044,188.00401666666664,100.07762933333333,104.64930533333334,136.45903266666667,122.73693099999998,108.65894933333334,115.38338666666668,113.83605,121.97025599999999
27,21.980444666666667,188.61166633333335,103.46198066666666,104.254643,144.860983,124.36954200000001,108.97843066666667,127.886613,113.676071,131.662051
28,21.32972033333333,186.88702600000002,108.42227933333334,110.713323,144.58465566666666,127.92746266666666,114.51395333333333,132.59363166666665,114.495039,131.9823266666667
29,23.497979,190.18363933333333,108.72809099999999,110.73327033333332,151.25926333333334,135.067701,113.48525666666667,134.23999166666667,114.53890799999999,130.2022933333333
30,22.560676333333333,189.83801233333335,108.62501433333334,110.94458933333333,154.219707,134.197235,128.64939366666667,133.587996,115.19265166666666,130.353689
31,22.199710333333332,188.00298366666667,107.66696933333333,110.66929499999999,153.55197566666666,133.42396433333332,129.20125333333334,133.27701866666666,121.55461266666667,130.280415
32,21.675745666666668,186.17399533333332,106.91730166666666,110.01094166666667,155.34440700000002,133.86193866666667,129.852295,132.57058466666666,128.296057,143.95507166666667
33,23.62799666666667,186.91047033333334,109.06672466666667,117.99494399999999,157.03765566666667,134.20859933333335,131.25363966666666,139.56403766666668,128.82860466666668,146.99594199999999
34,23.233254666666667,184.739987,110.367298,119.50675633333333,160.777966,134.383758,133.42634833333332,138.55536800000002,132.17274366666666,150.2126056666667
