1_num	2_andr_10KHz_time_nanosec	3_andr_100KHz_time_nanosec	4_andr_1000KHz_time_nanosec	5_disc_10KHz_time_nanosec	6_disc_100KHz_time_nanosec	7_disc_1000KHz_time_nanosec	8_ram_10KHz_time_nanosec	9_two_10KHz_time_nanosec	10_two_100KHz_time_nanosec	11_two_1000KHz_time_nanosec
75	inf	57870080	inf	4169984	32770048	19919872	102630144	4049920	42710016	31190016
76	inf	57580032	inf	3929856	32480000	19619840	104310016	3520000	42739968	30880000
77	inf	57260032	inf	3840000	32199936	19320064	103990016	3230208	42810112	30870016
78	inf	56969984	inf	3170048	31910144	19030016	104240128	2660096	42710016	30779904
79	inf	56680192	inf	2810112	31589888	18740224	103880192	2370048	42679808	30690048
80	inf	56450048	inf	2690048	31249920	18449920	103769856	1960192	42690048	31049984
81	inf	56310016	inf	2960128	30140160	18159872	103460096	1609984	42700032	30970112
82	inf	56020224	inf	2469888	29849856	17840128	104009984	1440000	42750208	31559936
83	inf	56349952	inf	2089984	29530112	17539840	107859968	1359872	42829824	31589888
84	inf	57019904	inf	1719808	29209856	17239808	107910144	1349888	42850048	31680000
85	inf	57680128	inf	1760000	28880128	15830016	108960000	1349888	42870016	31390208
86	inf	57950208	inf	1440000	30889984	15510016	108610048	1390080	42889984	31139840
87	inf	58220032	inf	1389824	30360064	15220224	108290048	1390080	42920192	30800128
88	inf	59369984	inf	1139968	30840064	14919936	107630080	1370112	42820096	30500096
89	inf	62860032	inf	1159936	29869824	20770048	107299840	2390016	42850048	30339840
90	inf	66350080	inf	940032	29320192	20480000	106810112	1910016	42820096	30240000
91	inf	70700032	inf	1720064	29129984	21510144	106589952	1659904	42820096	32470016
92	inf	70429952	inf	1609984	28839936	20329984	110190080	1440000	42840064	32899840
93	inf	69819904	inf	2280192	28359936	20010240	109880064	1330176	42860032	33349888
94	inf	69490176	inf	2969856	28030208	19709952	112889856	1340160	42889984	33440000
95	inf	69209856	inf	2820096	27680000	19840000	112549888	1339904	42919936	33660160
96	inf	70070016	inf	2740224	32059904	20200192	112220160	1420032	42830080	34969856
97	inf	69789952	inf	2520064	31790080	18789888	111900160	1369856	42820096	35100160
98	inf	69930240	inf	2360064	33359872	18470144	111069952	1359872	42769920	35279872
99	inf	69659904	inf	3010048	33070080	19650048	110729984	1390080	42810112	37149952
100	inf	69369856	inf	3249920	32400128	19280128	110960128	1350144	43069952	38599936
101	inf	69110016	inf	3170048	32069888	18929920	110649856	1330176	46539776	39350016
102	inf	68829952	inf	3129856	31740160	18629888	110329856	1360128	46380032	39250176
103	inf	68440064	inf	3250176	31249920	18340096	110020096	1339904	46200064	40330240
104	inf	67609856	inf	3250176	30939904	18050048	109660160	1339904	46089984	41430016
105	inf	65490176	inf	3079936	30180096	17689856	109339904	1379840	45809920	42820096
106	inf	65189888	inf	3249920	31059968	27980032	108150016	1339904	45549824	44519936
107	inf	64640000	inf	3119872	30760192	29050112	107799808	1339904	45299968	45570048
108	inf	64349952	inf	3259904	30470144	30230016	109049856	1339904	45210112	47059968
109	inf	64069888	inf	2899968	30189824	29959936	109570048	1410048	45059840	47239936
110	inf	63740160	inf	2539776	29949952	29640192	110020096	1359872	44940032	47450112
111	inf	63459840	inf	2190080	30119936	29380096	113379840	1379840	44790016	49489920
112	inf	63170048	inf	2099968	31400192	28910080	118759936	1509888	44579840	51090176
113	inf	62889984	inf	1449984	30520064	28610048	117820160	1219840	44320000	52070144
