num	disc_10KHz_f	disc_100KHz_f	disc_1000KHz_f	disc_10KHz_p	disc_100KHz_p	disc_1000KHz_p	disc_10KHz_n	disc_100KHz_n	disc_1000KHz_n
359	42030080	33120000	44620032	75259904	54190080	28160000	37069824	73090048	19369984
360	41430016	34600192	44320000	74970112	53779968	27859968	36460032	74949888	19040000
361	41120000	34459904	44019968	74569984	53360128	28900096	36150016	77690112	18749952
362	40719872	37999872	43110144	74080256	53039872	31350016	35859968	78249984	18429952
363	40339968	40770048	42739968	74929920	52709888	30899968	35350016	77979904	18060032
364	39949824	40499968	42450176	74400000	52300032	30619904	35010048	77569792	17750016
365	39480064	40209920	42129920	73629952	51990016	33349888	34530048	77479936	17420032
366	39190016	39909888	41779968	73129984	51659776	33449984	34230016	76480000	17000192
367	38829824	39620096	41490176	72760064	51200000	33169920	33890048	77449984	16549888
368	38520064	39020032	41269760	72409856	50870016	32830208	33440000	81329920	16109824
369	38860032	38720000	43140096	72070144	50809856	32509952	32920064	81040128	15340032
370	38529792	39529984	43640064	71719936	50870016	32240128	32619776	80750080	11350016
371	38230016	42419968	45609984	71380224	52090112	31950080	32240128	84670208	11229952
372	38249984	45510144	45339904	70749952	60369920	31659776	31810048	85309952	14060032
373	40539904	45029888	45050112	70269952	59920128	31369984	31289856	85019904	13659904
374	42479872	46690048	44329984	69780224	59579904	30809856	31749888	84730112	13359872
375	43600128	50319872	44019968	70129920	60860160	31790080	31790080	85549824	14289920
376	44409856	51109888	43610112	69619968	60589824	31490048	32750080	85270016	14030080
377	44630016	50819840	43320064	69230080	60339968	31200000	33289984	84920064	13750016
378	46050048	51219968	42919936	68849920	62459904	30949888	33349888	87710208	13309952
379	46879744	50899968	42630144	68489984	66269952	30419968	32840192	88369920	12869888
380	46490112	50609920	42289920	66480128	66700032	34310144	32400128	88099840	12470016
381	48100096	50350080	39589888	66039808	67910144	34380032	32059904	87810048	12169984
382	49349888	51879936	39239936	65710080	70240256	34060032	31630080	87879936	11770112
383	50160128	54390016	38949888	65240064	70380032	33760000	31209984	87580160	11340032
384	50210048	54110208	37420032	64899840	70759936	33470208	30789888	87719936	10880000
385	49990144	53329920	36209920	64540160	71119872	33180160	30360064	88879872	10550016
386	49760000	53039872	35849984	64109824	71140096	32889856	30070016	92869888	10119936
387	49440000	53890048	35529984	63750144	70830080	32390144	29730048	93159936	9720064
388	50400000	53509888	35239936	63300096	72079872	32139776	29309952	92640000	8480000
389	50550016	52770048	34980096	66200064	71859968	31810048	28979968	92339968	10839808
390	50230016	52840192	33870080	65860096	72730112	31510016	28440064	92050176	10540032
391	53860096	52960000	33559808	65509888	73309952	31170048	28130048	91749888	9849856
392	55539968	52689920	33270016	65170176	72960000	30810112	30119936	93260032	9360128
393	55539968	52369920	32989952	64819968	72630016	30509824	30170112	92900096	8900096
394	56890112	52080128	32689920	64289792	72300032	29449984	29870080	92599808	8589824
395	57700096	51120128	31970048	63480064	72029952	30419968	29539840	92310016	8230144
396	57650176	51399936	31609856	62959872	71560192	29579776	29110016	93240064	7620096
397	57459968	52049920	31699968	62510080	71249920	28740096	28780032	96810240	7179776
398	57789952	52709888	33220096	62210048	70859776	28449792	31680000	96519936	6640128
399	58429952	54010112	32950016	61920000	70439936	30019840	31389952	96590080	6269952
400	58809856	54339840	32659968	61490176	70139904	32740096	31059968	98520064	7080192
401	58520064	56029952	31890176	61090048	69740032	32790016	30639872	98429952	8110080
402	58119936	59950080	31859968	59909888	69430016	31010048	30340096	98070016	13990144
403	57700096	61489920	31570176	59610112	69100032	30449920	29860096	100110080	20430080
404	57359872	61179904	31269888	58739968	68760064	29309952	29469952	99799808	20290048
405	57059840	60879872	30910208	58300160	68440064	30830080	29140224	99510016	19980032
406	58280192	62030080	30620160	57480192	68150016	29050112	28760064	98779904	20029952
407	58190080	62119936	29159936	57080064	67909888	28900096	28879872	98220032	20649984
408	57979904	61840128	28710144	56640000	67140096	31719936	29240064	99559936	20450048
409	59249920	61229824	29069824	56270080	66680064	31420160	32359936	100049920	19790080
410	60419840	60930048	28930048	54489856	65939968	31120128	32740096	99729920	20709888
411	61600000	61400064	34429952	53610240	65430016	29810176	32780032	99309824	28550144
412	61710080	61470208	34390016	51830016	65099776	29459968	32579840	98920192	28280064
413	62289920	61179904	34109952	51419904	64620032	29020160	32430080	98899968	28520192
414	63549952	61080064	33750016	50510080	64320000	28940032	32300032	98629888	29560064
415	63440128	61860096	36920064	50159872	63940096	28809984	32410112	98569984	29669888
416	63660032	61920000	36640000	49389824	63340032	30919936	32280064	98249984	31239936
417	65180160	61639936	40189952	48689920	63030016	32329984	31980032	100440064	30729984
418	66620160	62109952	39919872	46370048	62120192	32710144	31200000	100329984	34810112
419	66639872	61840128	39539968	45949952	61629952	32419840	30279936	105950208	35269888
420	67389952	61519872	39249920	45649920	65570048	32100096	29899776	105280000	35760128
421	68659968	62400000	39950080	44800000	60039936	31760128	29649920	106929920	35810048
422	69609984	62320128	41130240	44470016	59680256	31389952	29359872	109159936	36129792
423	69660160	62409984	40839936	43990016	58619904	30310144	28679936	109920000	35789824
424	70119936	62130176	40470016	43699968	58220032	29440000	28359936	109669888	35920128
425	70210048	61440000	40169984	43909888	57639936	29149952	28030208	109030144	35580160
426	72430080	61139968	39879936	43350016	57319936	28860160	27699968	110380032	35369984
427	73110016	63049984	39599872	44000000	57989888	28549888	26560000	110569984	36089856
428	73850112	67299840	50449920	44569856	58040064	27810048	26220032	110290176	44790016
429	67610112	67020032	52630016	46380032	58439936	29829888	25860096	110009856	44440064
430	67399936	70290176	52529920	46439936	59219968	29800192	25079808	109720064	44140032
431	69019904	69979904	52230144	46879744	60009984	29730048	24730112	109400064	43819776
432	69509888	69689856	51940096	49710080	60779776	31529984	24740096	109110016	43529984
433	69629952	69400064	51659776	49359872	63049984	31389952	22470144	109299968	42989824
434	69139968	69120000	51209984	47650048	63510016	31589888	22480128	109029888	42530048
435	68849920	68830208	51299840	47209984	63319808	31310080	23620096	108739840	42220032
436	70560000	68160000	51279872	46639872	63790080	30970112	23950080	108450048	41939968
437	70609920	67439872	54149888	46279936	63639808	30649856	23699968	107909888	41619968
438	71750144	67140096	56349952	45979904	65500160	32859904	23360000	107590144	41139968
439	71919872	66850048	56090112	45500160	65170176	31689984	22939904	106729984	40840192
440	72780032	66580224	54669824	45060096	63049984	31379968	22599936	106870016	40519936
441	72669952	65720064	54380032	44630016	62759936	31599872	27030016	106609920	40039936
442	74540032	65449984	53979904	43030016	62990080	31549952	26080000	106899968	39590144
443	74150144	66390016	53649920	42680064	62909952	31239936	25920000	108229888	39170048
444	73849856	66279936	53360128	41399808	63490048	35099904	25479936	107989760	38720000
445	73560064	66489856	54230016	41080064	64539904	37270016	24899840	113349888	38310144
446	76110080	66380032	53910016	40669952	66000128	37149952	24359936	112940032	37880064
447	75960064	68430080	50449920	40369920	65309952	36879872	26429952	112310016	37459968
448	81170176	70139904	50059776	39990016	66560000	36580096	26050048	112029952	37100032
449	80809984	70949888	49769984	39559936	65789952	36849920	25539840	112669952	36790016
450	80510208	71049984	49479936	39210240	66469888	36869888	22830080	114139904	36210176
451	80219904	70630144	49190144	47330048	66810112	37289984	22380032	113840128	35810048
452	79929856	72960000	47840000	46929920	67640064	37010176	22080000	113550080	35510016
453	79520000	73299968	46129920	46640128	67350016	36730112	21660160	112879872	35010048
454	79219968	73019904	43699968	46289920	67399936	36229888	21370112	112580096	34650112
455	78929920	72940032	43350016	45860096	69379840	36210176	21079808	112290048	34259968
456	78510080	73929984	43109888	45440000	69840128	35280128	20760064	112000000	33800192
457	78200064	73550080	42059776	43569920	70959872	38599936	20440064	111379968	33489920
458	77790208	73250048	43609856	42980096	70670080	38720000	20139776	111069952	32950016
459	79040000	72160000	42899968	42550016	71899904	38430208	19770112	110329856	32499968
460	79879936	71889920	42550016	40350208	71659776	38149888	19459840	110030080	32150016
461	80709888	71619840	42250240	39910144	71310080	39590144	19140096	109559808	31830016
462	83010048	71180032	41989888	39490048	71709952	39269888	18690048	109280000	31249920
463	83699968	70929920	41990144	38020096	71849984	43049984	18359808	111700224	30889984
464	84380160	70640128	41700096	37649920	71559936	43140096	18060032	111409920	30590208
465	85859840	72009984	42909952	36150016	71160064	42889984	17639936	111140096	30230016
466	85430016	75639808	42629888	35770112	70720000	42579968	16709888	110629888	29929984
467	85560064	75330048	42340096	35480064	70320128	44120064	16189952	110350080	29580032
468	85799936	76160000	42290176	35820032	70300160	49240064	15309824	110180096	29449984
469	85969920	76009984	42220032	31379968	70220032	49350144	15279872	109900032	29240064
470	85640192	75409920	41920000	31239936	70380032	49069824	16270080	113479936	28620032
471	85199872	75160064	41670144	30259968	68000000	48809984	16029952	112349952	28080128
472	84979968	74829824	41380096	29730048	67650048	48420096	15640064	112029952	27770112
473	84689920	74540032	41090048	29339904	67330048	47960064	15209984	111729920	27479808
474	84290048	74220032	40110080	28950016	66979840	47129856	14889984	111980032	27200000
475	83919872	73909760	40289792	29009920	66919936	46769920	14579968	111719936	26909952
476	83620096	73629952	41469952	27280128	66860032	46419968	14240000	113009920	26490112
477	83299840	73329920	41250048	24739840	66589952	46120192	13809920	112729856	25910016
478	82880000	73040128	44209920	25289984	66350080	45809920	18479872	112440064	25580032
479	82119936	72270080	48620032	24940032	66019840	45529856	17800192	112140032	25289984
480	82149888	72009984	52189952	24509952	65779968	45000192	17459968	111849984	25009920
481	81870080	73550080	51910144	24040192	65449984	45219840	17530112	111379968	24719872
482	81449984	73270016	52170240	23549952	65190144	44940032	17600000	108909824	24300032
483	81159936	72999936	51869952	23249920	64839936	46810112	17990144	113770240	23879936
484	80580096	73890048	51479808	22710016	64979968	46220032	18060032	117879808	23579904
485	80199936	73560064	51330048	22409984	64689920	45920000	17889792	117900032	23290112
486	79789824	75209984	51510016	22019840	64359936	45619968	17410048	117649920	22969856
487	76560128	74940160	53920000	21720064	64020224	45849856	17519872	117350144	22670080
488	76229888	75730176	56310016	21329920	63709952	45570048	17640192	117719808	22380032
489	75939840	78220032	56989952	20659968	63409920	45280000	18070016	117580032	22099968
490	75570176	77949952	59930112	20230144	63130112	47059968	17620224	117720064	21810176
491	75269888	77670144	59840000	19759872	62809856	47649792	18899968	121449984	21519872
492	74860032	77390080	59079936	20169984	62479872	47330048	18469888	120950016	21110016
493	74390016	77090048	58930176	20860160	62140160	47040000	18060032	122599936	20809984
494	74089984	76300032	58409984	20930048	61699840	46750208	15109888	122290176	20519936
495	73779968	75980032	58089984	20910080	61330176	45270016	14560000	121999872	20519936
496	73449984	75190016	65549824	21080064	60890112	44940032	14099968	121540096	20630016
497	73029888	74200064	65670144	19919872	60509952	48369920	13689856	121250048	21320192
498	72720128	74600192	65379840	22259968	60190208	48100096	13330176	120960000	21049856
499	72399872	74319872	69959936	21929984	59859968	47809792	16859904	120670208	21779968
500	71969792	74029824	69689856	22400000	59419904	47529984	16530176	120379904	21219840
501	71549952	73750016	73700096	22660096	59120128	47239936	16589824	119609856	20680192
502	72689920	73280000	77830144	22829824	68819968	46939904	16720128	119300096	20270080
503	72930048	72950016	77550080	22449920	68539904	46650112	16329984	118850048	19809792
504	72590080	72649984	77259776	21920000	68169984	46070016	16009984	118509824	19340032
505	72300032	72369920	81699840	21620224	67859968	45799936	15630080	118210048	24689920
506	72020224	72070144	81420032	21230080	67529984	45499904	15259904	117929984	24369920
507	71280128	71689984	84519936	20739840	67089920	44649984	14790144	117640192	24049920
508	70509824	71399936	84230144	20400128	66639872	44329984	14159872	116879872	23490048
509	70200064	70330112	83960064	19980032	66330112	44000000	13230080	116569856	23089920
510	69860096	70010112	83809792	19669760	65910016	43699968	12809984	116290048	22359808
511	69579776	69389824	83529984	19290112	65600000	43409920	12379904	116310016	21850112
512	69160192	68189952	83249920	16229888	65510144	43120128	12090112	115990016	21430016
513	68569856	68399872	82970112	15890176	65820160	42799872	11559936	116829952	21020160
514	68260096	68000000	82909952	15369984	65699840	42499840	10870016	116549888	21160192
515	67940096	67470080	82859776	14799872	65519872	42899968	10439936	116260096	21150208
516	67650048	67219968	82300160	14140160	65230080	42620160	10039808	115769856	20679936
517	67230208	66599936	84689920	13659904	64390144	43139840	9700096	115459840	20370176
518	66919936	66300160	86430208	13059840	64070144	50550016	9179904	114190080	20039936
519	67389952	66210048	86149888	12540160	63520000	50230016	8739840	113869824	19609856
520	68200192	67459840	88120064	17530112	63150080	49929984	10569984	113920000	18980096
521	70590208	66980096	87799808	16750080	60999936	52359936	21600000	114180096	13979904
522	71479808	66690048	87490048	17609984	60679936	52040192	22080000	113899776	13349888
523	71539968	66359808	87219968	18109952	60110080	51740160	22080000	113410048	11480064
524	74380032	67569920	86929920	18840064	59630080	50370048	22259968	112989952	11000064
525	74329856	67140096	86540032	19639808	59269888	49410048	22070016	112690176	11760128
526	75329792	66850048	86230016	22540032	58960128	48169984	21629952	112400128	11469824
527	75360000	66560000	86159872	23350016	54720000	47960064	21370112	112109824	11190016
528	74959872	66279936	88009984	31279872	54260224	47660032	20999936	111830016	15200000
529	74789888	65989888	87729920	33769984	53730048	47379968	20550144	111500032	13560064
530	74419968	65360128	87440128	33139968	53249792	47069952	19430144	111159808	13229824
531	74619904	65060096	87350016	32990208	52950016	46760192	19009792	114969856	13430016
532	74230016	64729856	87219968	34240000	52659968	46449920	21639936	114710016	14020096
533	73769984	64430080	85949952	33239808	52369920	46159872	21210112	115480064	13809920
534	73340160	64140032	84859904	33270016	51950080	45870080	21819904	114819840	14099968
535	73029888	63849984	85839872	34199808	51650048	47180032	21500160	114530048	13609984
536	72709888	63539968	85560064	51209984	51360000	46610176	24089856	114200064	13280000
537	72420096	63239936	86720000	50749952	50940160	46299904	23640064	113899776	12979968
538	72180224	62949888	88070144	49180160	50639872	46009856	23340032	117539840	12680192
539	71819776	62970112	87729920	48539904	50340096	45690112	23009792	117270016	12049920
540	71529984	66609920	87410176	48030208	49929984	49299968	22680064	116940032	10609920
541	71200000	65849856	86939904	47510016	49629952	49019904	22339840	116650240	10119936
542	70900224	65540096	86509824	47209984	49340160	49240064	22010112	116369920	10030080
543	70599936	65240064	88339968	46600192	48930048	48940032	21710080	116069888	15059968
544	70199808	65260032	88060160	46139904	48619776	50970112	21809920	115780096	14700032
545	69790208	67510016	87769856	45819904	48300032	50690048	21840128	115109888	14519808
546	69489920	67219968	86700032	45410048	48000000	51340032	21650176	114029824	14820096
547	69199872	66919936	84659968	45019904	48920064	57460224	22209792	115130112	14639872
548	68800000	65780224	89540096	44720128	49479936	59000064	22840064	114889984	14350080
549	68389888	65420032	89260032	44160000	49199872	58710016	22749952	114330112	14029824
550	68099840	67899904	88960000	43549952	49590016	58440192	23299840	114019840	13730048
551	67750144	70670080	88669952	43210240	49700096	58149888	22990080	113729792	13400064
552	67450112	70380032	88389888	42800128	49950208	61609984	23510016	113410048	12909824
553	67149824	70089984	86919936	42419968	50169856	60539904	23330048	113080064	11900160
554	66860032	71899904	86540032	42030080	50599936	62560000	23529984	112790016	11599872
555	66349824	71079936	89920000	41540096	50729984	64999936	22929920	112509952	11180032
556	65840128	70759936	92749824	41229824	50329856	67209984	22620160	112219904	10840064
557	65520128	70430208	91389952	40940032	50000128	67750144	22299904	111699968	10339840
558	65120000	69159936	90739968	40450048	49690112	67429888	22009856	111409920	10759936
559	64670208	68859904	90380032	40150016	49399808	67160064	21680128	110690048	18579968
560	64369920	68560128	89999872	39760128	49090048	66860032	21309952	110400000	18880000
561	64079872	68250112	89289984	39249920	48480000	66569984	20800000	110070016	19020032
562	64540160	69789952	88979968	39389952	49640192	66789888	20889856	111229952	19820032
563	64339968	69519872	88689920	48270080	49260032	70350080	21669888	110569984	19729920
564	76389888	69060096	95190016	48880128	50390016	70070016	22360064	110259968	19520000
565	78620160	68760064	99270144	50889984	50049792	69789952	22720000	109999872	20019968
566	78530048	70050048	98980096	51079936	51419904	69509888	22850048	111059968	19709952
567	80239872	69779968	103009792	52580096	53069824	72800000	22659840	110739968	21910016
568	81060096	69730048	102729984	52709888	54289920	73150208	22180096	110429952	21540096
569	81080064	69440000	106510080	52389888	54670080	72870144	22110208	110139904	23630080
570	81859840	71040000	106119936	52099840	55470080	72579840	22840064	109850112	23699968
571	81890048	71399936	105820160	51709952	66870016	70140160	24290048	109529856	23170048
572	82370048	72250112	105530112	51239936	66599936	70129920	23660032	109240064	22560000
573	87389952	73570048	107520000	50650112	66279936	69660160	23350016	108950016	22070016
574	87540224	73260032	107239936	50080000	65860096	72450048	22940160	108659968	21710080
575	88269824	72969984	108960000	49769984	65560064	72179968	22609920	108370176	21339904
576	88679936	72869888	108569856	49320192	65219840	71940096	22060032	107950080	21779968
577	89469952	73820160	108460032	48800000	64700160	71549952	21750016	106499840	26630144
578	91869952	73679872	108169984	48499968	64389888	70989824	21420032	106180096	26339840
579	91699968	75790080	107879936	48210176	64089856	70460160	21100032	105890048	26020096
580	92080128	75460096	110080000	47810048	63800064	69690112	20440064	105600000	25689856
581	92210176	75169792	113470208	47309824	63510016	70580224	23250176	105270016	25059840
582	92270080	74880000	114809856	47010048	63180032	70259968	22599936	105580032	24610048
583	93139968	74589952	116489984	46599936	62759936	69969920	22279936	105289984	24199936
584	93580032	72740096	120310016	46300160	62449920	71609856	21679872	105000192	23590144
585	93469952	72430080	122060032	45910016	62030080	71749888	19450112	104539904	23290112
586	94700032	72140032	121680128	46220032	61730048	71440128	19030016	104209920	22969856
587	95140096	71330048	125449984	47059968	61379840	71149824	18429952	103910144	22370048
588	95430144	70490112	125160192	48320000	60670208	70750208	18089984	103620096	22060032
589	95149824	70179840	124869888	47870208	60219904	72709888	17670144	103329792	21739776
590	94860032	69880064	124579840	49590016	59909888	72470016	17369856	103020032	21440000
591	94469888	69600000	129090048	51920128	59620096	75449856	17040128	102720000	21060096
592	94200064	69309952	132779776	51529984	59180032	75040000	16620032	102429952	20640000
593	93920000	69010176	131569920	51150080	58340096	78860032	16199936	102140160	20199936
594	93629952	68559872	131180032	52300032	58030080	78600192	16339968	103200000	19879936
595	93350144	68270080	132389888	51849984	57679872	78720000	16169984	102040064	19529984
596	93049856	68819968	132109824	53629952	57340160	76229888	17179904	101690112	18870016
597	92690176	68440064	131820032	54230016	57040128	81260032	17539840	101359872	18429952
598	92280064	67539968	134620160	53940224	56640000	80990208	17120000	101069824	18919936
599	91940096	67449856	134350080	56630016	57539840	80640000	16249856	101040128	18860032
600	91640064	70230016	133690112	57569792	58969856	80760064	15890176	100760064	19450112
601	91350016	70259968	133510144	57380096	58729984	80510208	15559936	99949824	19479808
602	91040000	70179840	133489920	57330176	60489984	80219904	15259904	101479936	19010048
603	90589952	70050048	134400000	56859904	60499968	79929856	14860032	101530112	18919936
604	90070016	71190016	134119936	56550144	60140032	80199936	14560000	105190144	19130112
605	89789952	71060224	133840128	56160000	59879936	80140032	14150144	104679936	19079936
606	89490176	72849920	136329984	55609856	59770112	82119936	14230016	104739840	19300096
607	89100032	72499968	136000000	55200000	59909888	81839872	13929984	104470016	18989824
608	88689920	72220160	135510016	54670080	58949888	81550080	13459968	107230208	18690048
609	88380160	71470080	134940160	54099968	58479872	82610176	12850176	108969984	18350080
610	87889920	71339776	135040000	53789952	57850112	82319872	12470016	108689920	18030080
611	87520256	70770176	135590144	53499904	57049856	82070016	12120064	109129984	17690112
612	87229952	73529856	135899904	53030144	56380160	81779968	11760128	108819968	17250048
613	86530048	75109888	137379840	52509952	55970048	83350016	16029952	112000000	16860160
614	86180096	75190016	137090048	52209920	54759936	83040256	15760128	112320000	16570112
615	87410176	75779840	136719872	51920128	53230080	82739968	15229952	113200128	16229888
616	89050112	75610112	137939968	51589888	52859904	82449920	14860032	113079808	15910144
617	91670016	75910144	139180032	51099904	52300032	82120192	13400064	114230016	15539968
618	91820032	75599872	138889984	50579968	51950080	81829888	12829952	115630080	15069952
619	91260160	75330048	138599936	50279936	51629824	81539840	11559936	118070016	13949952
620	86319872	79030016	139840000	49900032	51340032	81250048	10970112	117789952	15340032
621	87510016	79640064	139470080	49390080	51049984	81510144	9679872	117499904	15699968
622	87209984	79360000	139000064	49090048	50659840	81810176	9290240	117180160	15260160
623	87789824	77969920	138680064	48800000	50210048	84079872	8849920	116879872	16739840
624	89779968	77659904	138380032	48339968	49819904	84000000	8440064	115990016	16420096
625	90070016	77380096	138889984	47840000	49319936	86650112	8090112	118880000	16019968
626	90599936	75879936	138519808	47529984	49479936	84630016	8509952	121760000	15719936
627	91620096	75559936	140589824	47140096	49390080	85999872	11949824	121480192	15150080
628	91930112	75260160	141699840	46649856	49029888	87229952	10160128	121500160	14700032
629	91659776	74970112	141890048	46340096	50280192	87239936	11340032	121229824	14370048
630	91260160	74679808	141379840	45580032	50000128	86919936	12560128	122040064	14089984
631	90959872	77409792	141080064	45110016	49679872	86619904	12160000	121999872	10760192
632	90670080	77459968	140679936	44760064	46180096	87640064	12999936	123020032	10400000
633	90340096	77489920	140389888	44419840	45750016	87520000	13639936	125819904	9939968
634	90050048	76910080	140019968	43950080	45420032	90309888	14160128	125549824	9490176
635	89760000	76719872	139409920	43219968	46550016	90749952	14240000	125180160	9159936
636	89430016	79099904	138990080	46119936	44190208	91940096	13820160	124879872	8729856
637	89009920	80590080	138240000	45779968	45440000	92770048	13169920	128249856	8270080
638	88710144	83640064	142870016	45430016	45560064	97329920	19900160	127970048	7859968
639	88399872	83680000	147000064	44969984	45910016	98370048	19369984	127680000	7269888
640	87950080	83079936	147790080	44429824	47170048	98110208	18920192	127180032	6720000
641	87620096	82810112	147510016	42460160	46900224	97819904	18589952	126880000	6360064
642	87040000	82889984	147029760	41920000	46589952	97159936	18310144	126509824	6070016
643	86690048	82600192	146690048	41620224	46179840	96859904	18280192	126220032	5470208
644	86390016	80410112	146400000	41009920	45710080	96259840	19650048	125760000	4859904
645	86069760	83469824	146110208	40549888	46230016	96910080	21799936	126860032	4429824
646	87040000	82670080	145720064	40019968	46589952	96620032	21400064	126579968	3790080
647	87699968	82409984	145399808	39709952	46080000	98000128	21730048	126329856	4209920
648	87709952	82259968	144720128	40189952	45670144	97709824	21449984	126070016	2690048
649	86499840	80640000	144410112	40630016	45199872	97420032	21669888	125479936	2599936
650	86190080	80369920	144119808	40410112	44420096	96829952	21230080	125180160	2540032
651	84649984	84529920	143840000	40119808	44000000	98630144	22140160	124849920	2070016
652	84310016	84920064	147409920	39709952	43689984	98080000	22259968	124550144	3139840
653	83979776	83719936	147670016	39170048	43360000	97729792	21979904	124270080	5540096
654	83689984	83399936	147369984	38849792	42870016	98969856	21540096	123980032	4829952
655	84150016	85550080	147079936	37129984	44539904	1.07E+08	21679872	123789824	4950016
656	83460096	85230080	146800128	40339968	46070016	1.08E+08	21890048	123549952	4590080
657	83170048	86930176	146419968	39859968	46190080	1.08E+08	21609984	123280128	5100032
658	82750208	87279872	146120192	39539968	45590016	1.07E+08	23150080	123000064	6299904
659	82459904	87020032	145659904	39150080	45280000	1.07E+08	24000000	123330048	6080000
660	82139904	86720000	145369856	38859776	44979968	1.07E+08	27010048	122450176	5760000
661	81700096	86470144	145080064	38569984	44770048	1.06E+08	26560000	122139904	5410048
662	83600128	86179840	144790016	38169856	62850048	1.06E+08	26230016	121990144	6610176
663	83709952	85890048	144489984	37660160	62439936	1.07E+08	25720064	121679872	6299904
664	83410176	85600000	144019968	37169920	62100224	1.07E+08	25129984	121380096	5009920
665	83899904	84609792	143630080	36869888	61760000	1.07E+08	24410112	120920064	6330112
666	83680000	84280064	143569920	36349952	61459968	1.06E+08	24069888	117989888	5959936
667	83730176	83990016	145370112	36039936	61170176	1.07E+08	23729920	117680128	7010048
668	84539904	84289792	145040128	35509760	60750080	1.07E+08	23249920	120190208	7869952
669	84649984	84169984	144969984	33929984	60449792	1.06E+08	22909952	119919872	9289984
670	86249984	89710080	148809984	33609984	60160000	1.06E+08	22630144	120530176	8930048
671	86620160	91369984	149490176	33240064	59820032	1.06E+08	22320128	121489920	9319936
672	86550016	90370048	150080000	32950016	59379968	1.05E+08	21949952	121199872	17180160
673	87460096	90099968	149750016	32659968	59069952	1.04E+08	21570048	121740032	16889856
674	90550016	89810176	149459968	32160000	58659840	1.04E+08	21169920	123860224	19510016
675	90670080	89519872	149169920	31859968	58360064	1.07E+08	20770048	127539968	19209984
676	90769920	89229824	148879872	31569920	58020096	1.09E+08	21190144	129050112	19269888
677	91229952	90880000	148489984	31280128	57549824	1.09E+08	20920064	129650176	20709888
678	93289984	93920000	148189952	30769920	57250048	1.08E+08	20520192	129390080	20890112
679	93440000	93949952	147899904	30470144	56719872	1.08E+08	20069888	131069952	29629952
680	94199808	95190016	147620096	30170112	56279808	1.08E+08	18679808	132339968	29369856
681	94210048	94929920	147330048	29880064	55970048	1.08E+08	18249984	134040064	28969984
682	97629952	94640128	147389952	29600000	55599872	1.07E+08	17870080	135000064	28640000
683	100150016	96750080	148850176	29689856	55290112	1.07E+08	18770176	136869888	28299776
684	101629952	96849920	148559872	34650112	54960128	1.06E+08	18609920	138010112	27859968
685	101659904	96559872	148759808	35170048	54619904	1.06E+08	18680064	139409920	27190016
686	110800128	96300032	149339904	34889984	54200064	1.06E+08	18390016	139130112	26620160
687	110449920	96009984	149250048	34599936	53600000	1.06E+08	18070016	138809856	26149888
688	109860096	95950080	149479936	34319872	53289984	1.05E+08	17789952	138520064	25839872
689	109489920	95040000	149650176	34040064	52910080	1.05E+08	17400064	138230016	25430016
690	109189888	95229952	150009856	33639936	52610048	1.07E+08	17050112	137939968	25139968
691	108780032	95470080	149949952	32980224	52120064	1.07E+08	16579840	137660160	24730112
692	108470016	95369984	149570048	35069952	51729920	1.07E+08	16280064	136049920	27150080
693	108040192	97619968	149189888	34539776	51099904	1.08E+08	15879936	135740160	26849792
694	107590144	97550080	148899840	34020096	45330176	1.1E+08	15549952	135440128	26550016
695	107299840	100430080	148610048	33709824	44940032	1.14E+08	15030016	135589888	26200064
696	106970112	100120064	148029952	33410048	45070080	1.15E+08	14439936	135300096	25819904
697	106670080	99830016	147619840	33129984	45020160	1.15E+08	14140160	135590144	25499904
698	106379776	99539968	147289856	32839936	48379904	1.17E+08	16329984	134400000	25189888
699	105850112	103160064	146509824	32450048	48819968	1.18E+08	15949824	134099968	24910080
700	105539840	104310016	146200064	31800064	49129984	1.18E+08	15760128	133769984	24590080
701	105250048	104029952	145910016	31409920	51649792	1.17E+08	15660032	134220032	24249856
702	104960000	103699968	145619968	30899968	51469824	1.17E+08	15640064	133959936	23960064
703	104589824	106149888	145220096	30419968	52039936	1.17E+08	15190016	133670144	23630080
704	104090112	105230080	145080064	30120192	54109952	1.15E+08	14889984	133359872	23080192
705	98320128	104930048	143890176	29520128	54850048	1.15E+08	14589952	132019968	22700032
706	98009856	104400128	144099840	29199872	55059968	1.16E+08	13939968	131599872	22259968
707	97680128	104690176	143770112	28910080	54649856	1.16E+08	16069888	131289856	21950208
708	97339904	104019968	143439872	28140032	54140160	1.17E+08	15730176	130990080	21629952
709	97029888	104290048	143149824	27499776	52889856	1.17E+08	15300096	134040064	21199872
710	96710144	108029952	141490176	27069952	53819904	1.17E+08	14939904	133760000	20790016
711	96239872	109890048	141120000	48699904	81839872	1.17E+08	14520064	133440000	20310016
712	95800064	115200000	140969984	46110208	81560064	1.17E+08	11160064	133149952	19840000
713	95500032	116519936	141289984	45750016	81260032	1.16E+08	10840064	132860160	20049920
714	95179776	116239872	147909888	42179840	80929792	1.15E+08	10040064	132570112	20150016
715	95719936	115719936	147709952	41730048	80230144	1.15E+08	9740032	132279808	19760128
716	95549952	115620096	147020032	41670144	79889920	1.15E+08	9310208	131440128	19460096
717	95490048	115329792	146610176	42720000	79560192	1.14E+08	8539904	132320000	19139840
718	95200000	115229952	146750208	46540032	79229952	1.14E+08	9169920	132019968	18850048
