num	disc_10KHz_f	disc_100KHz_f	disc_1000KHz_f	disc_10KHz_p	disc_100KHz_p	disc_1000KHz_p	disc_10KHz_n	disc_100KHz_n	disc_1000KHz_n
83	36620032	2300160	inf	74510080	36580096	16179968	45459968	34289920	42349824
84	36290048	2400000	inf	75310080	36229888	15840000	45590016	36200192	42589952
85	36700160	2579968	inf	77770240	35879936	15520000	45110016	35769856	42629888
86	38039808	2419968	inf	77479936	35369984	15360000	44760064	35500032	42880000
87	37760000	2360064	inf	77079808	35010048	15470080	44489984	35140096	43929856
88	37420032	1949952	inf	76680192	34710016	14840064	44110080	34649856	44509952
89	37080064	1920000	inf	76379904	33720064	14550016	43589888	34340096	46190080
90	36800000	1809920	inf	76089856	33379840	13789952	43239936	34019840	46349824
91	36079872	1710080	inf	75800064	32770048	13080064	44590080	33490176	48059904
92	35529984	2569984	inf	76970240	32399872	12770048	46500096	32819968	49299968
93	35020032	2889984	inf	78599936	32290048	12470016	46589952	32669952	50710016
94	34950144	2460160	inf	78299904	34710016	12450048	45890048	32400128	53489920
95	37529856	2409984	inf	78010112	52480000	12130048	45590016	34809856	55160064
96	37449984	2700032	inf	80880128	54279936	11939840	46000128	34109952	60910080
97	37149952	2589952	inf	82240000	55330048	11659776	45980160	33149952	60620032
98	36819968	1840128	inf	85449984	56330240	10860032	45920000	32800000	61440000
99	36460032	2160128	inf	86529792	56080128	9639936	46210048	32499968	61830144
100	37819904	2430208	inf	94700032	55409920	8920064	48600064	32210176	61539840
101	38670080	2789888	inf	94339840	55130112	8580096	47990016	31750144	64580096
102	41060096	3069952	inf	95200000	54800128	8280064	47630080	32760064	64960000
103	40500224	3070208	inf	94909952	54489856	7959808	47070208	37230080	64569856
104	40189952	3459840	inf	94199808	53490176	7190016	46759936	36949760	64380160
105	39599872	3350016	inf	93769984	53129984	5939968	46240000	36669952	66439936
106	39059968	2929920	inf	93449984	52559872	5320192	49659904	36089856	65750016
107	38649856	2909952	inf	93120000	51960064	4920064	49170176	35780096	67910144
108	37969920	2830080	inf	92790016	51640064	3810048	48870144	35490048	67739904
109	37660160	2689792	inf	92199936	51300096	1149952	48589824	35139840	68560128
110	37379840	2370048	inf	91890176	50800128	1410048	48280064	36099840	68819968
111	37100032	2269952	inf	91330048	52529920	1110016	47960064	35820032	69479936
112	36809984	1829888	inf	93870080	52210176	1479936	50429952	41479936	69479936
113	36520192	1769984	inf	93500160	51830016	1359872	50159872	41210112	69200128
114	36179968	2109952	inf	93199872	51379968	1430016	49680128	40869888	71219968
115	35879936	2139904	inf	93669888	51069952	1430016	49379840	41120000	73100032
116	35560192	2220032	inf	96999936	50739968	1799936	49090048	40979968	72820224
117	34759936	2199808	inf	96619776	49929984	1870080	48910080	41870080	72300032
118	34449920	2350080	inf	96300032	49560064	1440000	48630016	41859840	71820032
119	34140160	2249984	inf	96619776	49129984	1430016	48299776	42170112	71490048
120	35330048	1750016	inf	101709824	48830208	1080064	48009984	41890048	71170048
121	35369984	2039808	inf	101649920	48669952	1390080	47689984	41700096	70880000
122	37720064	2349824	inf	102279936	48669952	1740032	47339776	42629888	70649856
123	37449984	2799872	inf	102390016	49379840	2460160	50200064	44089856	70360064
124	37129984	3270144	inf	104460032	50550016	2330112	49910016	41320192	69619968
125	36839936	3940096	inf	105270016	50400000	2190080	49769984	41509888	69320192
126	36540160	4360192	inf	104960000	51559936	2200064	50609920	41230080	68989952
127	35950080	5019904	inf	104670208	53970176	2119936	50099968	41850112	68669952
128	35600128	5469952	inf	104090112	53779968	1120000	49479936	41590016	68199936
129	35100160	5690112	inf	103709952	53829888	1390080	49240064	41299968	67539968
130	34769920	5799936	inf	103369984	53470208	1769984	48899840	41199872	66789888
131	34470144	6529792	inf	102530048	53910016	1910016	48610048	41199872	66460160
132	34159872	6479872	inf	102210048	54169856	1679872	48280064	40969984	66179840
133	33859840	6649856	inf	101809920	54190080	1520128	47949824	40690176	65609984
134	33560064	6510080	inf	101239808	54779904	1549824	47620096	40389888	65270016
135	33230080	6539776	inf	100930048	54720000	1529856	47330048	40719872	64679936
136	33989888	5939968	inf	100430080	55460096	1870080	47050240	40679936	64380160
137	35360000	5590016	inf	100129792	55769856	1720064	46419968	40320000	63770112
138	34540032	4989952	inf	99740160	56279808	1540096	45859840	39870208	63459840
139	33970176	4800000	inf	100489984	56630016	1299968	45560064	46530048	63140096
140	33639936	5080064	inf	106790144	57030144	1580032	45230080	48530176	62009856
141	33339904	4979968	inf	106889984	57060096	1659904	44889856	50070016	62479872
142	33050112	4299776	inf	106810112	56820224	2579968	44590080	49779968	61600000
143	34690048	3760128	inf	106769920	56929792	2789888	45929984	49499904	61299968
144	34919936	3579904	inf	107739904	56960000	2659840	46860032	49169920	61069824
145	34249984	3320064	inf	107510016	56679936	3900160	46579968	48839936	60580096
146	33870080	3299840	inf	107769856	57380096	4910080	59130112	48560128	60049920
147	33459968	2920192	inf	107990016	57550080	4540160	58689792	52040192	60349952
148	33010176	3200000	inf	107670016	57680128	5669888	58360064	51749888	61680128
149	32649984	3069952	inf	107610112	58810112	5299968	58060032	51469824	61400064
150	33009920	2400000	inf	115239936	58269952	5090048	57720064	50050048	61110016
151	32549888	2309888	inf	114749952	58660096	5319936	57390080	49769984	60790016
152	32200192	2549760	inf	114449920	59589888	5299968	57059840	49459968	60460032
153	31859968	1890048	inf	114060032	60580096	5510144	56630016	49120000	59950080
154	31179776	1789952	inf	113760000	59780096	6020096	56260096	48829952	59539968
155	30810112	1609984	inf	113299968	59450112	5880064	55209984	48549888	59239936
156	32440064	1319936	inf	112979968	59459840	6870016	54840064	47170048	59039744
157	32100096	1169920	inf	112480000	59140096	7010048	53849856	46439936	58859776
158	31670016	1240064	inf	111939840	59720192	9110016	53529856	46030080	58540032
159	31140096	1620224	inf	111539968	59430144	8829952	53220096	45730048	58049792
160	29459968	2060032	inf	111239936	59139840	7970048	52450048	45400064	57700096
161	29120000	2220032	inf	110680064	58810112	7150080	52070144	45339904	57199872
