1_num	2_disc_10KHz_latency_ns	3_disc_100KHz_latency_ns	4_disc_1000KHz_latency_ns	5_two1_10KHz_latency_ns	6_two1_100KHz_latency_ns	7_two1_1000KHz_latency_ns	8_two2_10KHz_latency_ns	9_two2_100KHz_latency_ns	10_two2_1000KHz_latency_ns	11_two3_10KHz_latency_ns	12_two3_100KHz_latency_ns	13_two3_1000KHz_latency_ns
60	2190080	24879872	15230208	10579968	39670016	26370048	22409984	32189952	52600064	57850112	51289856	60709888
61	2159872	24600064	14939904	10060032	39689984	26109952	21430016	32209920	52499968	61209856	53070080	61999872
62	2039808	24310016	15929856	10299904	39709952	25769984	21220096	32220160	64100096	61030144	53350144	64549888
63	2290176	23660032	16679936	9790208	39730176	25580032	21440000	32230144	64329984	60860160	53479936	65619968
64	2150144	25539840	16880128	9230080	39819776	27589888	21299968	32259840	65800192	60709888	54520064	67110144
65	1939968	28859904	15810048	8659968	39830016	30340096	20839936	32290048	71589888	60499968	56320000	67230208
66	1879808	34089984	15510016	8059904	39859968	30240000	20710144	32260096	73000192	60489984	57120000	68369920
67	1839872	33830144	15219968	7559936	40189952	30119936	20349952	32280064	73370112	60850176	59660032	68310016
68	2189824	33549824	14680064	6960128	42889984	30470144	20509952	32289792	73379840	61019904	60630016	68210176
69	2459904	33270016	14379776	6829824	42789888	30430208	20059904	32369920	80209920	63670016	61989888	68099840
70	3079936	34500096	17679872	6259968	42769920	30360064	19980032	32339968	81629952	63680000	62720000	67990016
71	3340032	33979904	19500032	5699840	42769920	30510080	19149824	32349952	83680256	63389952	64859904	68009984
72	3700224	33679872	19650048	5380096	42800128	31699968	18630144	32349952	83939840	63100160	64979968	67970048
73	3560192	33350144	19259904	4819968	42729984	31620096	18959872	32369920	86370048	62819840	65220096	68209920
74	3360000	33060096	18950144	4290048	42709760	31309824	18859776	32400128	87460096	62519808	66419968	68419840
75	4169984	32770048	19919872	4049920	42710016	31190016	20510208	32400128	91479808	63279872	68499968	68369920
76	3929856	32480000	19619840	3520000	42739968	30880000	19369984	32369920	91620096	63409920	69569792	68050176
77	3840000	32199936	19320064	3230208	42810112	30870016	19200000	32349952	92050176	64640000	71510016	70390016
78	3170048	31910144	19030016	2660096	42710016	30779904	19359744	32360192	93910016	66700032	71809792	71150080
79	2810112	31589888	18740224	2370048	42679808	30690048	19599872	32339968	95769856	66599936	74980096	72130048
80	2690048	31249920	18449920	1960192	42690048	31049984	19790080	32339968	96140032	66439936	74809856	73289984
81	2960128	30140160	18159872	1609984	42700032	30970112	20020224	32379904	96510208	66609920	74710016	73529856
82	2469888	29849856	17840128	1440000	42750208	31559936	19890176	32409856	96909824	67790080	74609920	75409920
83	2089984	29530112	17539840	1359872	42829824	31589888	19899904	32489984	98700032	67950080	74540032	76220160
84	1719808	29209856	17239808	1349888	42850048	31680000	19810048	32790016	98939904	68160000	74439936	76480000
85	1760000	28880128	15830016	1349888	42870016	31390208	19119872	34419968	99920128	69949952	74390016	81289984
86	1440000	30889984	15510016	1390080	42889984	31139840	18320128	34360064	100330240	71760128	74370048	82060032
87	1389824	30360064	15220224	1390080	42920192	30800128	16499968	34380032	102490112	71789824	74450176	83269888
88	1139968	30840064	14919936	1370112	42820096	30500096	15649792	34380032	103930112	73529856	75190016	83719936
89	1159936	29869824	20770048	2390016	42850048	30339840	15000064	34400000	105420032	74480128	75310080	83780096
90	940032	29320192	20480000	1910016	42820096	30240000	14850048	34390016	106070016	74589952	75180032	83689984
91	1720064	29129984	21510144	1659904	42820096	32470016	14990080	34419968	106329856	75640064	74880000	84280064
92	1609984	28839936	20329984	1440000	42840064	32899840	14600192	34390016	107310080	76280064	74589952	84179968
93	2280192	28359936	20010240	1330176	42860032	33349888	14199808	34409984	107559936	78560000	74400000	85179904
94	2969856	28030208	19709952	1340160	42889984	33440000	13560064	34380032	108900096	79600128	74409984	85090048
95	2820096	27680000	19840000	1339904	42919936	33660160	13340160	34340096	109199872	80249856	75440128	85120000
96	2740224	32059904	20200192	1420032	42830080	34969856	12410112	34370048	109459968	81819904	75699968	85170176
97	2520064	31790080	18789888	1369856	42820096	35100160	11460096	34269952	109710080	82160128	76930048	84859904
98	2360064	33359872	18470144	1359872	42769920	35279872	11249920	33880064	111020032	83240192	77270016	84659968
99	3010048	33070080	19650048	1390080	42810112	37149952	11440128	33860096	111159808	84310016	77920000	84669952
100	3249920	32400128	19280128	1350144	43069952	38599936	11670016	33849856	111879936	85789952	79490048	84359936
101	3170048	32069888	18929920	1330176	46539776	39350016	11920128	33800192	111879936	85830144	80209920	84049920
102	3129856	31740160	18629888	1360128	46380032	39250176	11180032	33859840	111709952	86269952	81680128	83760128
103	3250176	31249920	18340096	1339904	46200064	40330240	10540032	33880064	111699968	86690048	82489856	85339904
104	3250176	30939904	18050048	1339904	46089984	41430016	9969920	34160128	111690240	86840064	83109888	86380032
105	3079936	30180096	17689856	1379840	45809920	42820096	9179904	35259904	111759872	88580096	84580096	89569792
106	3249920	31059968	27980032	1339904	45549824	44519936	8690176	35269888	111769856	90030080	84519936	96910080
107	3119872	30760192	29050112	1339904	45299968	45570048	9420032	35260160	112059904	90690048	85159936	98360064
108	3259904	30470144	30230016	1339904	45210112	47059968	12659968	35239936	112480000	92300032	85359872	98560000
109	2899968	30189824	29959936	1410048	45059840	47239936	12510208	35290112	113639936	94390016	86130176	98479872
110	2539776	29949952	29640192	1359872	44940032	47450112	13779968	35010048	116839936	94550016	86249984	100120064
111	2190080	30119936	29380096	1379840	44790016	49489920	18300160	34990080	118259968	94790144	89120000	100209920
112	2099968	31400192	28910080	1509888	44579840	51090176	19309824	35030016	126759936	96679936	91249920	100130048
113	1449984	30520064	28610048	1219840	44320000	52070144	20590080	35069952	126959872	98159872	91130112	100009984
114	1440000	30179840	28850176	1100032	44109824	52719872	21730048	34999808	128450048	99610112	91180032	99940096
115	1059840	29880064	28539904	1100032	43929856	52829952	22939904	35040000	130560000	100260096	92110080	99849984
116	1190144	29710080	30329856	1100032	43560192	54230016	23140096	35030016	130630144	101129984	91980032	99740160
117	1319936	31190016	31590144	1110016	43280128	55209984	24290048	35019776	137859840	102249984	92100096	99850240
118	2009856	31289856	31279872	1080064	42820096	56679936	24229888	35049984	139300096	102380032	92029952	99820032
119	1849856	32009984	30979840	1090048	42309888	56850176	23970048	35390208	142589952	103049984	91879936	99480064
120	1460224	32029952	30690048	1090048	42050048	57090048	23979776	35409920	142879744	105910016	91759872	99180032
121	1529856	33319936	30400000	1090048	41949952	57999872	24029952	36870144	148950016	107780096	91410176	99139840
122	1139968	42180096	30080000	1110016	41660160	58360064	23840000	44000000	150409984	108849920	91259904	99010048
123	960000	41790208	29779968	1110016	41390080	59749888	23849984	45029888	152530176	109420032	90959872	98889984
124	2190080	40969984	29489920	1120000	41120000	61210112	23930112	47409920	152809984	109479936	90850048	99140096
125	2300160	40529920	29160192	1090048	40809984	61039872	24000000	49179904	154749952	110680064	90479872	99160064
126	2629888	40240128	29029888	1100032	40529920	63020032	24079872	49070080	157920000	111739904	90180096	99049984
127	2819840	39950080	30380032	1090048	40270080	63139840	24310016	49890048	158300160	112420096	90070016	99930112
128	2850048	40019968	30289920	1139968	40019968	64349952	24300032	51279872	158140160	113970176	90229760	104600064
129	2409984	39459840	31940096	1159936	39759872	64569856	24509952	52750080	158139904	115439872	91399936	107409920
130	2210048	39090176	33569792	1159936	39360000	64730112	24709888	54190080	161070080	117540096	92140032	112610048
131	1740032	38769920	36659968	1100032	39159808	66060032	24429824	55660032	161370112	117760000	93960192	114510080
132	1550080	38390016	36089856	1090048	38970112	65980160	23960064	56359936	162979840	118000128	95419904	115910144
133	1210112	40489984	38080000	1090048	38700032	65789952	27630080	58520064	169019904	119889920	96489984	116729856
134	1299968	40420096	38560000	1129984	38510080	65760000	27789824	58619904	173459968	121299968	99369984	117129984
135	2040064	41499904	38470144	1090048	38299904	65349888	27780096	58459904	173339904	122820096	99239936	118109952
