id,mean_time_ms_10,mean_time_ms_20,mean_time_ms_30,mean_time_ms_40,mean_time_ms_50,mean_time_ms_60
0,550.2013363333334,464.73606433333333,401.32204733333333,442.04600666666664,426.20070733333336,499.5776813333334
1,930.8593273333332,649.9033766666666,598.796288,653.2377403333334,619.3226973333334,787.0566046666667
2,1101.6743973333332,821.9427266666667,827.4327113333334,875.6079669999999,837.6143773333333,1066.7897063333332
3,1266.087373,1003.8576133333332,1023.2869786666666,1072.4639096666667,1082.0340313333334,1339.9703499999998
4,1475.8686223333334,1189.2228916666668,1211.1573216666666,1340.4919309999998,1296.3360946666667,1588.4600483333334
5,1660.4959959999999,1394.5260046666665,1743.1720096666668,1529.6886763333332,1528.8532573333332,1858.6713473333332
6,1901.1970363333332,1576.4376323333333,1944.8856509999998,1740.7296496666665,1737.9053433333331,2089.3026990000003
7,2039.4579569999999,1758.8730653333334,2156.7753156666668,1935.0446856666667,1940.85598,2357.4143249999997
8,2196.2523459999998,1956.5499623333333,2356.8226499999996,2154.425065,2112.960656333333,2640.710354
9,2328.4870786666665,2143.1432566666663,2595.319748,2371.1886406666667,2331.292391,2902.7152856666667
10,2451.519330333333,2334.023078333333,2790.819883,2567.8210256666666,2528.509696333333,3161.2583
11,3009.1232460000006,2519.12268,3026.8157320000005,2759.1453393333336,2716.4683346666666,3439.299583666667
12,3166.3899420000002,2689.699013666667,3249.549707333333,2939.315319,2942.0855840000004,3704.599380333333
13,3392.268260333333,2862.3684246666667,3436.494032666667,3162.6926263333335,3147.276401333333,3985.381683
14,3512.409369333333,3046.132326333333,3627.2497173333336,3348.6112749999998,3363.587697333334,4253.750721666666
15,3654.43635,3216.209968333333,3871.8717096666664,3942.7154069999997,3559.653997,4493.692715666667
16,3796.160300333333,3400.325059666666,4073.332309666667,4110.1503373333335,3803.198973,4719.464698999999
17,3965.024709,3610.902309333333,4305.553038666666,4314.3352669999995,4007.8104333333335,4987.696409333334
18,4108.254035333333,3803.5593033333334,4500.5236466666665,4524.689039,4228.470723,5284.303983000001
19,4238.966941666667,3992.1909973333336,4733.854055333333,4776.801984000001,4463.272968666667,5568.068742333334
20,4400.859276,4186.005910333333,4934.497594666666,4994.930982666666,4690.071900666666,5880.831003333333
21,4556.352694666667,4366.787513666666,5114.411354333333,5178.9817809999995,4924.2996373333335,6170.768578666666
22,4696.195682333334,4553.927342,5289.0260223333335,5372.688055333333,5200.965007,6446.031968
23,4832.3302269999995,4809.343417666667,5498.069604,5555.887062999999,5443.0108863333335,6705.246925
24,5026.304960333334,5000.363667666667,5691.210349333333,5748.281955333333,5695.337374666667,6957.040628
25,5162.923654333334,5191.797018333334,5902.985016333333,5933.868964333334,5948.742389666667,7196.629604000001
26,5322.690963666667,5370.37468,6078.372637666667,6130.759000666668,6198.956330666667,7459.817568666666
27,5444.750388,5585.176944999999,6272.903681333333,6324.651400333333,6478.465398333334,7688.370307333334
28,5598.983287666667,5742.184639,6507.481892999999,6537.374337666667,6770.841758,7948.511997666667
29,5813.455979333333,5921.760638333333,6701.962629999999,6730.514606,7053.9992649999995,8176.498571666666
30,6017.397006666666,6094.903707333334,6904.448032333334,6932.247956666666,7311.206340666667,8400.954644
31,6188.0016319999995,6276.087363333332,7120.716015666666,7115.823030666666,7618.448734666667,8605.699698
32,6312.060753666666,6457.732995333333,7301.756938333333,7333.975315000001,7877.973954,8865.694681666668
33,6424.622297333332,6622.817039333332,7481.211344,7527.832587333333,8163.344780333333,9052.482366666667
34,6603.143294999999,6791.4342879999995,7671.097358,7753.950993666666,8386.492729,9293.813387666667
35,6740.348895666667,6982.945442333334,7900.835355,7957.561731333334,8649.458725999999,9490.745703333334
36,6886.0856693333335,7147.604067666667,8132.071653999999,8148.854732666667,8911.405245666667,9687.949578333331
37,7056.295315666667,7307.193279666666,8303.251027666665,8374.807755333333,9131.693363666667,9887.841304333333
38,7214.6170139999995,7528.407414666667,8537.096024,8600.553989666667,9689.021507666666,10097.426255666667
39,7356.214999999999,7663.064718333332,8691.140969333333,8801.845233,9960.444688666666,10285.939295999999
40,7468.352397333333,7873.406727999999,8919.658740333332,9087.168296666665,10200.359344333334,10521.621624666666
41,7621.4976313333345,8088.303566,9113.644282333335,9290.487289666666,10433.619976,10719.853321666667
42,7772.706349666667,8260.281324333335,9328.723033333334,9710.606654666668,10695.478042,10914.832989666667
43,7925.385316,8440.499782666666,9538.93137,9924.151341333332,10889.559984666666,11151.615937666667
44,8066.524982666667,8623.589992333335,9708.264429666668,10182.553371,11096.002260666666,11359.110672666668
45,8193.257968,8789.909998333333,9906.431912999999,10400.974353333333,11285.884062666666,11587.022939666667
46,8319.275935333333,9052.227020666667,10217.565298,10606.836954999999,11484.288215666666,11786.274274000001
47,8470.960617333332,9244.638602,10386.904558,10828.216075666665,11733.570655333335,12012.994607666667
48,8584.521452666668,9387.528737666666,10551.823616333333,11043.647766,11927.048126666668,12253.012975
49,8708.796342333333,9566.908280333333,10752.460320666667,11270.60469,12141.325314666667,12462.359269666666
50,8857.698679333333,9811.406056,10958.360353999999,11563.706000666667,12346.555948,12682.847658666666
51,9011.483033666666,9977.185726333331,11158.911069,11749.000629,12591.113329,12877.660989666669
52,9162.175019333334,10207.900047000001,11354.696671333333,11959.770043999999,12784.126679333334,13103.210290333334
53,9325.766087,10393.311023333334,11524.602651666666,12138.546387333334,13003.135045333334,13319.563706666668
54,9461.641629333333,10619.611025,11708.785454666666,12315.052668666665,13239.77979,13546.028614333334
